home_team,away_team,date,week,score,home_b,away_b,target
gnb,chi,2011-01-02,17,0.3172870266228562,0.18181818181818182,4.0,1
gnb,cle,2013-10-20,7,0.8186230705896411,0.2222222222222222,3.3,1
atl,nor,2020-12-06,13,-0.5051275873063323,1.19,0.6944444444444444,0
sea,nwe,2020-09-20,2,0.17559677985683952,0.46511627906976744,1.75,1
was,nyg,2020-11-08,9,0.05512396281922412,0.6944444444444444,1.19,0
min,crd,2010-11-07,9,0.323528543780813,0.2857142857142857,2.7,1
sea,crd,2015-11-15,10,-0.22944960183541235,0.6060606060606061,1.36,0
sea,nyg,2014-11-09,10,0.5768219792973553,0.24096385542168675,3.2,1
buf,nyj,2018-12-09,14,-0.019808439846302314,0.4366812227074236,1.86,0
chi,ram,2018-12-09,14,-0.6125182562745323,1.36,0.6060606060606061,1
phi,mia,2015-11-15,10,0.22623718715007538,0.38461538461538464,2.09,0
gnb,chi,2011-12-25,16,0.8242469967144737,0.1360544217687075,5.0,1
den,htx,2016-10-24,7,0.5846805143082185,0.25,3.05,1
rai,nyj,2017-09-17,2,0.895348188189924,0.1111111111111111,5.85,1
nyj,nwe,2015-12-27,16,-0.652136512806364,1.19,0.6944444444444444,1
sdg,den,2022-01-02,17,0.46533525541263504,0.2857142857142857,2.7,1
jax,den,2022-10-30,8,-0.03648267036321694,0.8064516129032258,1.04,0
tam,nor,2013-09-15,2,-0.8420102451956998,1.75,0.46511627906976744,0
buf,rav,2013-09-29,4,-0.4199657220887611,1.75,0.46511627906976744,1
min,ram,2015-11-08,9,0.31388457841279005,0.8064516129032258,1.04,1
sea,nyg,2020-12-06,13,0.7831681069760624,0.17543859649122806,4.15,0
crd,ram,2012-11-25,12,-0.007831395422316199,0.8064516129032258,1.04,0
oti,rai,2015-11-29,12,-0.5711637679071996,1.04,0.8064516129032258,0
kan,mia,2011-11-06,9,0.2773796444064239,1.75,0.46511627906976744,0
pit,rai,2010-11-21,11,-0.054027660376985934,0.3125,2.5,1
htx,jax,2016-01-03,17,0.34348215183308756,0.38461538461538464,2.09,1
oti,kan,2019-11-10,10,-0.6179574006764759,2.09,0.38461538461538464,1
pit,rav,2017-12-10,14,0.596480323735785,0.38461538461538464,2.09,1
car,nor,2019-12-29,17,-0.8181868263041878,5.85,0.1111111111111111,0
kan,den,2011-11-13,10,0.07836054424898597,1.57,0.5291005291005291,0
ram,sdg,2018-09-23,3,0.28176465833368053,0.2857142857142857,2.7,1
sea,sdg,2010-09-26,3,-0.2565730757243018,1.75,0.46511627906976744,1
tam,sea,2022-11-13,10,-0.04187685556295905,0.6944444444444444,1.19,1
nor,atl,2010-09-26,3,-0.33333295087531556,0.6060606060606061,1.36,0
kan,rav,2019-09-22,3,-0.1460740001501419,1.9,0.425531914893617,1
mia,buf,2021-09-19,2,-0.32452661715101416,1.36,0.6060606060606061,0
min,gnb,2017-10-15,6,-0.2712570643282488,1.36,0.6060606060606061,1
sfo,ram,2014-11-02,9,0.6269891319686779,0.18181818181818182,4.0,0
nor,det,2011-12-04,13,0.5653782981205007,0.24096385542168675,3.2,1
cin,dal,2012-12-09,14,-0.026012901267676275,0.5291005291005291,1.57,0
nwe,ram,2016-12-04,13,0.9843107001504373,0.12121212121212122,5.45,1
was,min,2011-12-24,16,-0.004338008883050352,0.38461538461538464,2.09,0
